brand,note,name,top,middle,bottom,concentration,first,second,third,fourth,fifth,sex,
Guerlain,floral woody amber,santal pao rosa,Xxxx,"Cardamom, Sandalwood, Myrrh, Fig, Nutty Note, Agar Wood",Xxxx,edp,woody,warm spicy,oud,powdery,amber,uni,
Guerlain,oriental,shalimar edp,"Citruses, Bergamot, Lemon, Cedar, Mandarin Orange","Iris, Patchouli, Vetiver, Jasmine, Rose","Incense, Vanilla, Leather, Opoponax, Sandal Wood, Civet, Tonka Nut, Musk",edp,citrus,amber,woody,vanilla,balsamic,"f, uni",
Guerlain,amber,spiritueuse double vanile,"Incense, Bergamot, Pink Pepper","Cedar, Ylang Ylang, Bulgarian Rose, Jasmine","Vanilla, Benzoin",edp,vanilla,amber,balsamic,woody,sweet,"f, uni",
Guerlain,amber,tonka imperiale,"Bitter Almond, Rosemary, Bergamot","Tonka Nut, Tobacco, Jasmine","Incense, Cedar, Pine",edp,sweet,amber,almond,vanilla,aromatic,uni,
Nearest but Lost,floral,#01melancholy,"Bergamot, Orange, Lemon, Pink Pepper, Peach","Freesia, Jasmine, Cyclamen, Magnolia","Light Musk, Amber, Patchouli, Sandal Wood",edp,floral,jasmine,woody,xxxx,xxxx,uni,
Nearest but Lost,fruity spicy,#08veiled,"Bergamot, Mandarin","Jasmine, Cinnamon","Vanilla, Peru Balsam",edt,sweet,fruity,spicy,cinnamon,xxxx,uni,
Nearest but Lost,fruity floral,#15unveil,"Black Currant, Mandarin, Apricot","Peony, Freesia, Rose",Violet,edp,fruity,xxxx,xxxx,xxxx,xxxx,uni,
Nearest but Lost,citrus,#12youth,"Bergamot, Grapefruit, Orange, Rosemary","Neroli, Hyacinth, Jasmine, Peony","Amber, Ambrette, Angelica",edp,citrus,xxxx,xxxx,xxxx,xxxx,uni,
Nearest but Lost,floral,#36nest,"Ylang Ylang, Orange Flower, Lime, Jasmine","Violet Leaf, Cassis, Lavender, Cardamom","Musk, Vetiver, Oakmoss",edp,floral,ylangylang,xxxx,xxxx,musky,uni,
Nearest but Lost,floral musk,#48hug,"Floral Bouquet, Lily Of The Valley","Violet, Rose, Ylang Ylang","Vanilla, Benzoin, Musk",edp,floral,vanilla,musky,xxxx,xxxx,uni,
Nearest but Lost,fruity floral citrus,#21dear,"Peach, Bergamot, Vodka","Sweet Pea, Lily Of The Valley, Jasmine, Rose","Iris, Musk, Woody Note",edp,fruity,peach,floral,xxxx,xxxx,uni,
Nearest but Lost,floral musk,shape of memory bedding spray,Bergamot,Jasmine,"Amber, Musk, Cedar Wood, Green Wood, Spicy Musk, Patchouli",shower cologne,xxxx,xxxx,xxxx,xxxx,xxxx,uni,
SWG,spicy floral,rose gasm no.33,Rose,Raspberry,"Musk, Wood",edp,rose,raspberry,musky,xxxx,xxxx,"f, uni",
SWG,woody floral,vetiver noir no. 212,"Mandarin, Black Pepper",Rose,"Musk, Tobacco",edp,floral,musky,xxxx,xxxx,xxxx,uni,
SWG,aromatic powdery,pom suede no. 21,"Lemon, Orange","Violet, Jasmine, Rose","Musk, Vanilla",edp,floral,vanilla,spicy,aromatic,xxxx,uni,
SWG,spotiy,pine voiele no. 089,Mandarin,Sandal Wood,Musk,edp,aromatic,spicy,xxxx,xxxx,xxxx,"m, uni",
SWG,spicy woody,oud dirty no. 213,Orange,"Nut Meg, Pine",Vanilla,edp,woody,gourmand,xxxx,xxxx,xxxx,"m, uni",
Kenzo,"amber floral, florienatal",flower by kenzo edp,"Bulgarian Rose, Hawthorn, Black Currant, Mandarin Orange","Parma Violet, Rose, Opoponax, Jasmine","Vanilla, White Musk, Incense",edp,powdery,floral,violet,rose,amber,f,
Kenzo,floral,flower by kenzo poppy bouquet edp,Nashi Pear,"Gardenia, Bulgarian Rose",Almond Tree,edp,white floral,fruity,rose,woody,nutty,f,
Kenzo,floral,flower by kenzo eau de vie,"Neroli, Ginger, Petitgrain, Bergamot","Orange Blossom, Bulgarian Rose","Vanilla, White Musk, Tonka Nut, Benzoin",edp,citrus,white floral,vanilla,warm spicy,sweet,f,
Kenzo,floral,flower by kenzo eau de lumiere,"Calabrian Bergamot, Cassis","Jasmine, Bulgarian Rose, Ylang Ylang, Peach","Violet, White Musk, Heliotrope",edt,powdery,violet,floral,musky,white floral,f,
Kenzo,fruity floral,flower by kenzo l'elixir,"Raspberry, Mandarin Orange","Bulgarian Rose, Orange Blossom","Praline, Bourbon Vanilla, Powdery Note",edp,sweet,fruity,powdery,vanilla,rose,f,
Kenzo,woody aquatic,kenzo homme edp,"Citrus, Mint, Cardamom","Sea Note, Sage, Spice","Sandal Wood, Vetiver, Vanilla, Cedar",edp,aromatic,marine,woody,green,warm spicy,m,
Kenzo,woody aromatic,Kenzo Homme Eau de Toilette Intense,"Calypsone, Sea Note, Pink Pepper, Spices","Fig Tree, Fig, Vetiver","Sandal Wood, Akigala Wood, Patchouli",edt,woody,aquatic,warm spicy,aromatic,marine,"m, uni",
Kenzo,woody aromatic,Kenzo Homme Night,"Cardamom, Grapefruit, Coriander","Mango, Worm Wood, Artemisia, Geranium","Tonka Nut, Vetiver, Guaiac Wood",edt,aromatic,sweet,tropical,warm spicy,fresh spicy,"m, uni",
Kenzo,woody spicy,Kenzo Homme Sport,"Mint, Grapefruit, Lemon","Spice, Ginger Flower, Geranium","Cedar, Vetiver",edt,aromatic,citrus,warm spicy,woody,fresh spicy,m,
Kenzo,aromatic aquatic,Kenzo Homme Fresh Eau de Parfum,"Cardamom, Mint",Sea Note,"Sweet Note, Woody Note",edp,marine,aromatic,sweet,salty,woody,m,
Kenzo,floral aquatic,l'eau kenzo edt pour femme,Mint,White Lotus,Flower Peach,edt,mint,lotus,aquatic,xxxx,xxxx,f,
Kenzo,floral aquatic,L'Eau Kenzo Pour Femme Hyper Wave,Pink Grapefruit,Orange Blossom,Lotus,edt,citrus,floral,white floral,aquatic,ozonic,f,
Kenzo,aquatic citrus,l'eau kenzo edt pour homme,Yuzu,Mint,Cedar,edt,citrus,mint,aquatic,xxxx,xxxx,m,
Kenzo,aromatic aquatic,L'Eau Kenzo Pour homme Hyper Wave,Mandarin Orange,Sea Note,Moss,edt,citrus,marine,mossy,aromatic,earthy,uni,
Kenzo,fruity floral,L'Eau Kenzo Intense pour Femme,Red Apple,"Lily, Lotus, Peony",Patchouli,edp,floral,patchouli,fresh,fruity,white floral,f,
Kenzo,aromatic aquatic,L'Eau Kenzo Intense pour Homme,"Sea Note, Yuzu, Lime",Black Basil,"Cedar, Vetiver",edt,aromatic,citrus,fresh spicy,woody,green,m,
Kenzo,floral aquatic,L'Eau par Kenzo pour femme,"Reed, Mint, Green Lilac, Mandarin Orange, Pink Pepper","Water Lily, Pepper, White Peach, Violet, Amaryllis, Rose","Cedar, White Musk, Vanilla",edt,floral,fresh,green,aquatic,fresh spicy,"f, uni",
Kenzo,aromatic aquatic,L'Eau par Kenzo pour Homme,"Yuzu, Lemon, Green Pepper","Water Note, Lotus, Water Mint, Green Note","White Musk, Cedar",edt,citrus,green,aquatic,aromatic,floral,"m, uni",
Kenzo,"amber floral, florienatal",L'Eau par Kenzo Eau Indigo pour Femme,"Bergamot, Mandarin Orange","Ylang Ylang, Jasmine","Tonka Nut, Plum, Ambergris",edp,sweet,amber,fruity,yellow floral,citrus,"f, uni",
Kenzo,amber,L'Eau par Kenzo Eau Indigo pour Homme,"Lime, Ginger","Coriander, Elemi","Vetiver, Virginia Cedar, Tonka Nut, Labdanum",edp,aromatic,woody,citrus,warm spicy,conifer,m,
Kenzo,woody aromatic,kenzo world power,Cypress,Sea Salt,Tonka Nut,edp,aromatic,salty,woody,vanilla,amber,"f, uni",
Kenzo,floral,kenzo world edp,Red Fruits,"Peony, Floral Note, Egyptian Jasmine",Ambroxan,edp,floral,fruity,fresh,amber,musky,f,
Kenzo,floral fruity,kenzo world edt,"Pear, Bergamot","Peony, Almond Blossom, Rose","Orris Root, White Musk, Violet, Vanilla, Iso E Super, Sandal Wood",edt,floral,fresh,powdery,sweet,rose,f,
Kenzo,floral fruity,kenzo world edp intense,Plum,"Peony, Jasmine",Vanilla,edp,fruity,vanilla,sweet,floral,fresh,f,
Kenzo,amber,Kenzo World Power Eau de Toilette,Immortelle,"Sea Salt, Powdery Note, White Musk",Tonka Nut,edt,powdery,sweet,salty,herbal,warm spicy,f,
Kenzo,floral fruity,aqua kenzo edt pour femme,"Raspberry, Mandarin Orange, Lemon","Magnolia, Apple, Jasmine, Green Note, Hedione, Rose","Vetiver, Vanilla, Cashmere Wood, Sandal Wood, Patchouli",edt,citrus,fruity,floral,green,woody,f,
Kenzo,aromatic aquatic,aqua kenzo edt pour homme,"Pink Pepper, Apple, Bergamot","Hazelnut, Water Note, Green Note, Sesame","Tonka Nut, Sandal Wood, Cedar, Amber, Musk, Vanilla",edt,woody,nutty,vanilla,aquatic,amber,m,
Kenzo,amber vanilla,kenzo amour edp,"Rice, White Tea","Frangipani, Cherry Blossom, Heliotrope","Vanilla, Incense, Musk, Woody Note",edp,vanilla,floral,powdery,lactonic,sweet,f,
Kenzo,floral woody musk,Kenzo Amour Indian Holi,"Cherry Blossom, Rice, Incense, Red Berries","Frangipani, Pink Pepper, Peony, Rose","Vanilla, Sandal Wood, Musk",edp,floral,fresh,vanilla,fruity,sweet,f,
Kenzo,floral,Kenzo Amour Florale,"Neroli, Grapefruit, Cardamom, Black Currant","Gardenia, Rose, Frangipani","Musk, Virginia Cedar",edt,citrus,white floral,floral,lactonic,tropical,f,
Kenzo,amber,Kenzo Amour Le Parfum,"Incense, Rice","Frangipani, Patchouli","Vanilla, Benzoin, Amber",edp,amber,vanilla,warm spicy,balsamic,smoky,"f, uni",
Kenzo,floral fruity,Kenzo Amour Make Me Fly,"Mirabella Plum, Mandarin Orange","Cherry Blossom, Jasmine, Magnolia","White Musk, Cedar",edt,floral,fruity,citrus,white floral,musky,f,
Kenzo,floral woody musk,Kenzo Amour i love u,Grapefruit,"Peach Blossom, Rose, Violet","Musk, Virginia Cedar",edp,floral,citrus,rose,powdery,musky,f,
Kenzo,floral fruity,Kenzo Amour my love,"Red Currant, Passionfruit, Pink Grapefruit","Peony, Rose, Cherry Blossom, Lilac","White Musk, Cedar",edt,floral,fresh,fruity,rose,sweet,f,
Kenzo,floral,L'Eau de Kenzo Amour,"Tea, Bitter Orange, Bergamot","Frangipani, Ylang Ylang, Peony","Vanilla, Musk",edt,floral,vanilla,citrus,fresh,tropical,f,
Kenzo,floral fruity,kenzo jeu d'amour edp,"Pomegranate, Blood Mandarin, Tea","Tuberose, Freesia","Sandal Wood, Musk",edp,tuberose,woody,white floral,floral,green,f,
Kenzo,floral fruity,kenzo jeu d'amour edt,"Pear, Lemon Blossom","Freesia, Tuberose","White Musk, Cedar",edt,white floral,floral,tuberose,fruity,sweet,f,
Kenzo,"amber floral, florienatal",kenzo jeu d'amour l'elixir,"Blackberry, Mandarin Orange, Orange","Tuberose, Jasmine","Caramel, Vanilla, Rum, Patchouli, Sandal Wood",edp,fruity,sweet,caramel,vanilla,white floral,f,
Kenzo,amber spicy,Kenzo Jungle L'Elephant,"Cloves, Cumin, Mandarin Orange","Cardamom, Caraway, Licorice, Mango, Ylang Ylang, Heliotrope, Gardenia","Vanilla, Amber, Patchouli",edp,warm spicy,fresh spicy,vanilla,sweet,aromatic,"f, uni",
Kenzo,amber spicy,Kenzo Jungle le Tigre,"Kumquat, Tangerine, Orange","Osmanthus, Ylang Ylang","Cinnamon, Amber",edp,citrus,cinnamon,warm spicy,sweet,amber,"f, uni",
Kenzo,woody spicy,Kenzo Jungle homme,"Cinnamon, Lime, Bergamot, Lemon","Nutmeg, Cardamom, Pepper, Mate, Carnation, Amber","Guaiac Wood, Sandal Wood, Cedar, Benzoin, Vetiver",edt,warm spicy,woody,fresh spicy,citrus,aromatic,"m, uni",
Kenzo,floral green,kenzo parfum d'ete(2002),"Lily Of The Valley, Green Note","Hyacinth, Jasmine, Peony","White Musk, Sandal Wood",edt,green,white floral,floral,fresh,rose,f,
Kenzo,floral,kenzo parfum d'ete (1992),"Green Leaf, Hyacinth, Peach, Mahogany","Lily Of The Valley, Peony, Narcissus, Freesia, Jasmine, Cyclamen, Ylang Ylang, Rose","Oakmoss, Iris, Musk, Sandal Wood, Cedar, Amber",edt,floral,green,white floral,fresh,woody,f,
Kenzo,floral fruity,kenzo ca sent beau,"Mandarin Orange, Patchouli, Bergamot","Tuberose, African Orange Flower, Coriander, Ylang Ylang, Gardenia, Jasmine, Peach","Amber, Vetiver, Vanilla",edt,white floral,citrus,tuberose,aromatic,woody,f,
Kenzo,floral fruity,kenzo le monde est beau,"Basil, Black Currant, Mandarin Orange, Magnolia","Honeysuckle, Japanese Cherry Blossom, Jasmine, Iris","Blackberry, Vetiver, Cedar, Sandal Wood, Tonka Nut",edt,fruity,aromatic,fresh spicy,citrus,woody,f,
Kenzo,woody spicy,kenzo power,"Coriander, Cardamom, Bergamot",Flowers,"Tolu Balsam, Labdanum, Cedar",edt,floral,aromatic,amber,warm spicy,citrus,uni,
Kenzo,citrus aromatic,kenzo Power Cologne,"Lemon Verbena, Cardamom, Bergamot","Black Pepper, Geranium, Coriander","Tolu Balsam, Virginia Cedar, Vetiver",edc,aromatic,fresh spicy,warm spicy,citrus,woody,uni,
Gucci,chypre floral,alchemist's garden 1921 edp,Citron,"Neroli, Lemon Verbena",Oakmoss,edp,citrus,fresh,white floral,xxxx,xxxx,"m, uni",
Gucci,"amber floral, florienatal",alchemist's garden a chant for the nymph,Frangipani,"Tiare Flower, Ylang Ylang",Vanilla,edp,floral,tropical,white floral,yellow floral,sweet,f,
Gucci,woody,a midnight stroll,Incense,Cade Oil,Cypress,edp,aromatic,woody,fresh spicy,amber,smoky,"m, uni",
Gucci,woody spicy,the voice of the snake,Xxxx,"Agarwood(oud), Patchouli, Saffron",Xxxx,edp,oud,warm spicy,patchouli,woody,earthy,"m, uni",
Gucci,woody spicy,hortus sanitatis,Xxxx,"Papyrus, Vetiver, Cedar, Ginger",Xxxx,edp,woody,aromatic,warm spicy,earthy,green,m,
Gucci,floral woody,tears of iris,xxxx,"Iris Flower, Angelica, Sandal Wood, Musk",xxxx,edp,powdery,musky,iris,woody,violet,"f, uni",
Gucci,woody spicy,the last day of summer,xxxx,"Cypress, Patchouli, Cedar, Vetiver, Nutmeg",xxxx,edp,woody,aromatic,fresh spicy,patchouli,earthy,uni,
Gucci,floral,the virgin violet,xxxx,"Violet, Iris, Musk, Vanilla",xxxx,edp,powdery,violet,iris,musky,vanilla,"f, uni",
Gucci,floral,winter's spring,xxxx,"Mimosa, Musk, Pepper",xxxx,edp,yellow floral,powdery,floral,musky,sweet,f,
Gucci,amber,the eyes of the tiger,xxxx,"Amber, Vanilla, Labdanum",xxxx,edp,amber,vanilla,powdery,xxxx,xxxx,"f, uni",
Gucci,floral,a kiss from violet,xxxx,"Violet, Musk, Iris",xxxx,perfumed oil,powdery,violet,musky,floral,iris,"f, uni",
Gucci,woody,ode on mwlancholy,xxxx,"Cypriol Oil or Nagarmotha, Cedar, Sandalwood, Patchouli",xxxx,perfumed oil,woody,earthy,powdery,xxxx,xxxx,m,
